org.jhotdraw.draw.QuadTreeDrawing.QuadTreeEventHandler org.jhotdraw.draw.QuadTreeDrawing 3036 50 42.11403
org.jhotdraw.draw.QuadTreeDrawing.QuadTreeEventHandler org.jhotdraw.draw.event.FigureEvent 1518 25 32.81453
org.jhotdraw.draw.event.FigureEvent org.jhotdraw.draw.event.FigureEvent 1518 100 32.81453
org.jhotdraw.draw.QuadTreeDrawing.QuadTreeEventHandler org.jhotdraw.geom.QuadTree 1012 16.66667 9.059172
org.jhotdraw.draw.QuadTreeDrawing.QuadTreeEventHandler org.jhotdraw.draw.Figure 506 8.333334 0.2556098
org.jhotdraw.samples.draw.DrawView.1 org.jhotdraw.samples.draw.DrawView 2 100 11.11111
org.jhotdraw.draw.tool.AbstractTool org.jhotdraw.draw.Drawing 426 0.591215 1.670392
org.jhotdraw.draw.DefaultDrawingEditor.ToolHandler org.jhotdraw.draw.DrawingView 1834 34.11459 1.392622
org.jhotdraw.draw.DefaultDrawingView org.jhotdraw.draw.Figure 340 0.1490882 0.1717536
org.jhotdraw.draw.AbstractFigure org.jhotdraw.draw.handle.ResizeHandleKit 30 0.1098901 4.225352
org.jhotdraw.draw.handle org.jhotdraw.draw.Figure 1572 100 0.7941079
org.jhotdraw.draw. org.jhotdraw.util.ResourceBundleUtil 522 39.24812 1.718915
org.jhotdraw.draw.handle.ResizeHandleKit org.jhotdraw.draw.Figure 204 23.07692 0.1030522
org.jhotdraw.draw.handle.ResizeHandleKit org.jhotdraw.draw.handle.ResizeHandleKit 680 76.92308 95.77465
org.jhotdraw.draw.locator.RelativeLocator org.jhotdraw.draw.locator.RelativeLocator 862 7.212182 96.85393
org.jhotdraw.draw.DefaultDrawingView org.jhotdraw.draw.handle.Handle 47878 20.99424 95.82691
org.jhotdraw.draw.handle.AbstractHandle org.jhotdraw.draw.handle.AbstractHandle 69214 64.28287 100
org.jhotdraw.draw.handle.BoundsOutlineHandle org.jhotdraw.draw.handle.BoundsOutlineHandle 4451 42.81042 100
org.jhotdraw.draw.handle.BoundsOutlineHandle org.jhotdraw.draw.Figure 2016 19.39021 1.018398
org.jhotdraw.draw.handle.BoundsOutlineHandle org.jhotdraw.draw.DrawingView 1008 9.695105 0.7654107
org.jhotdraw.draw.handle.LocatorHandle org.jhotdraw.draw.handle.LocatorHandle 10377 59.51821 100
org.jhotdraw.draw.handle.LocatorHandle org.jhotdraw.draw.locator.Locator 3529 20.2409 84.97472
org.jhotdraw.draw.locator.RelativeLocator org.jhotdraw.draw.Figure 8820 73.79518 4.455491
org.jhotdraw.draw.handle.LocatorHandle org.jhotdraw.draw.DrawingView 3529 20.2409 2.679697
org.jhotdraw.draw.handle.AbstractHandle org.jhotdraw.draw.DrawingView 29764 27.64347 22.60088
org.jhotdraw.draw.handle.AbstractHandle org.jhotdraw.draw.DrawingEditor 5906 5.485228 5.382155
org.jhotdraw.draw.handle.RoundRectangleRadiusHandle org.jhotdraw.draw.handle.RoundRectangleRadiusHandle 298 44.87952 100
org.jhotdraw.draw.handle.RoundRectangleRadiusHandle org.jhotdraw.draw.RoundRectangleFigure 102 15.36145 43.58974
org.jhotdraw.draw.handle.RoundRectangleRadiusHandle org.jhotdraw.draw.DrawingView 68 10.24096 0.05163485
org.jhotdraw.draw.DefaultDrawingView org.jhotdraw.draw.event.FigureSelectionListener 22420 9.831048 100
org.jhotdraw.draw.action.AbstractSelectedAction.EventHandler org.jhotdraw.draw.action.AbstractSelectedAction 22660 98.32509 39.39842
org.jhotdraw.draw.action.AbstractSelectedAction org.jhotdraw.draw.action.AbstractSelectedAction 33556 38.26488 58.34304
org.jhotdraw.draw.action.AbstractSelectedAction org.jhotdraw.draw.DrawingEditor 35810 40.83518 32.63376
org.jhotdraw.draw.action.AbstractSelectedAction org.jhotdraw.draw.DrawingView 18257 20.81898 13.8632
org.jhotdraw.draw.action.AlignAction org.jhotdraw.draw.action.AlignAction 5862 66.55313 99.59225
org.jhotdraw.draw.action.AlignAction org.jhotdraw.draw.DrawingView 2922 33.17439 2.21878
org.jhotdraw.draw.action.FontChooserHandler org.jhotdraw.draw.action.FontChooserHandler 1779 52.17009 99.71973
